offset,latitude,longitude,url,title
478,40.688083,-75.205423,http://clui.org/ludb/site/national-canal-museum,National Canal Museum
479,41.417001,-75.715115,http://clui.org/ludb/site/pennsylvania-anthracite-heritage-museum,Pennsylvania Anthracite Heritage Museum
480,40.351486,-78.771187,http://clui.org/ludb/site/johnstown-flood-national-monument,Johnstown Flood National Monument
481,40.623001,-80.431999,http://clui.org/ludb/site/shippingport-nuclear-power-plant,Shippingport Nuclear Power Plant
482,40.676815,-75.495834,http://clui.org/ludb/site/saylor-park-cement-industry-museum,Saylor Park Cement Industry Museum
483,41.611315,-79.658318,http://clui.org/ludb/site/drake-well-museum,Drake Well Museum
484,40.436921,-76.569546,http://clui.org/ludb/site/fort-indiantown-gap,Fort Indiantown Gap
485,40.256162,-80.199133,http://clui.org/ludb/site/canonsburg-uranium-tailings-site,Canonsburg Uranium Tailings Site
486,39.738749,-77.413243,http://clui.org/ludb/site/raven-rock-underground-command-center-site-r,Raven Rock Underground Command Center (Site R)
487,39.825546,-75.368317,http://clui.org/ludb/site/commodore-barry-bridge,Commodore Barry Bridge
488,39.985241,-76.151733,http://clui.org/ludb/site/national-toy-train-museum,National Toy Train Museum
489,40.881721,-77.611542,http://clui.org/ludb/site/penns-cave,Penn&#039;s Cave
490,41.367599,-75.685523,http://clui.org/ludb/site/erosion-and-sedimentation-plan-red-ash-and-coal-silt-area,Erosion and Sedimentation Plan for Red Ash and Coal Silt Area
491,40.216255,-75.073013,http://clui.org/ludb/site/naval-air-warfare-center,Naval Air Warfare Center
492,40.993332,-75.862778,http://clui.org/ludb/site/eckley-miners-village,Eckley Miner&#039;s Village
493,40.153294,-76.725342,http://clui.org/ludb/site/three-mile-island,Three Mile Island
494,39.812229,-75.426056,http://clui.org/ludb/site/marcus-hook-refinery,Marcus Hook Refinery
495,40.305905,-79.977956,http://clui.org/ludb/site/national-energy-technology-laboratory-pittsburgh-doe,"National Energy Technology  Laboratory, Pittsburgh (DOE)"
496,40.61454,-75.368568,http://clui.org/ludb/site/bethlehem-steel-plant,Bethlehem Steel Plant
497,40.3563,-79.899696,http://clui.org/ludb/site/bettis-atomic-power-laboratory,Bettis Atomic Power Laboratory
498,40.512715,-76.121312,http://clui.org/ludb/site/roadside-america,Roadside America
499,40.199821,-75.148201,http://clui.org/ludb/site/willow-grove-naval-air-station,Willow Grove Naval Air Station
500,40.162666,-74.768266,http://clui.org/ludb/site/falls-township-trash-plant,Falls Township Trash Plant
501,40.211525,-77.172043,http://clui.org/ludb/site/carlisle-barracks,Carlisle Barracks
502,39.893672,-75.181117,http://clui.org/ludb/site/philadelphia-naval-complex,Philadelphia Naval Complex
503,40.32787,-78.920693,http://clui.org/ludb/site/johnstown-flood-museum,Johnstown Flood Museum
504,39.992197,-76.129621,http://clui.org/ludb/site/amazing-maize-maze,Amazing Maize Maze
505,43.619736,-105.247353,http://clui.org/ludb/site/black-thunder-coal-mine,Black Thunder Coal Mine
506,43.294701,-106.203415,http://clui.org/ludb/site/naval-petroleum-reserve-3-teapot-dome,"Naval Petroleum Reserve #3, Teapot Dome"
507,41.667464,-106.18269,http://clui.org/ludb/site/medicine-bow-wind-project,Medicine Bow Wind Project
508,42.36692,-107.838535,http://clui.org/ludb/site/green-mountain-mining-venture,Green Mountain Mining Venture
509,42.860867,-106.252258,http://clui.org/ludb/site/closed-texaco-refinery,Closed Texaco Refinery
510,42.9306,-108.466644,http://clui.org/ludb/site/riverton-uranium-tailings-sites,Riverton Uranium Tailings Sites
511,42.834684,-107.491865,http://clui.org/ludb/site/gas-hills-east-disposal-cell,Gas Hills East Disposal Cell
512,44.043929,-105.368843,http://clui.org/ludb/site/cordero-rojo-mine-complex,Cordero Rojo Mine Complex
513,41.614292,-109.806976,http://clui.org/ludb/site/fmc-trona-mine,FMC Trona Mine
514,42.838686,-105.777848,http://clui.org/ludb/site/dave-johnston-power-plant,Dave Johnston Power Plant
515,43.26871,-105.627708,http://clui.org/ludb/site/spook-uranium-disposal-cell,Spook Uranium Disposal Cell
516,41.153069,-104.860725,http://clui.org/ludb/site/warren-air-force-base,Warren Air Force Base
517,42.402167,-110.289087,http://clui.org/ludb/site/shute-creek-gas-plant,Shute Creek Gas Plant
518,43.413611,-106.298218,http://clui.org/ludb/site/salt-creek-oil-field,Salt Creek Oil Field
519,41.131051,-105.398068,http://clui.org/ludb/site/ames-pyramid,Ames Pyramid
520,42.504001,-107.803516,http://clui.org/ludb/site/split-rock-mill-site,Split Rock Mill Site
521,35.414921,-97.396957,http://clui.org/ludb/site/tinker-air-force-base,Tinker Air Force Base
522,36.339882,-97.908607,http://clui.org/ludb/site/vance-air-force-base,Vance Air Force Base
523,36.437365,-95.448432,http://clui.org/ludb/site/totem-pole-park,Totem Pole Park
524,35.666649,-97.503967,http://clui.org/ludb/site/largest-water-tower,Largest Water Tower
525,34.662018,-98.402657,http://clui.org/ludb/site/fort-sill,Fort Sill
526,34.65757,-99.278595,http://clui.org/ludb/site/altus-air-force-base,Altus Air Force Base
527,34.822268,-95.945492,http://clui.org/ludb/site/mcalester-army-ammunition-plant,McAlester Army Ammunition Plant
528,36.623833,-95.147552,http://clui.org/ludb/site/former-largest-mcdonalds,Former Largest McDonald&#039;s
529,36.229141,-95.741669,http://clui.org/ludb/site/arkansas-river-museum,Arkansas River Museum
530,42.963925,-94.445464,http://clui.org/ludb/site/grotto-redemption,Grotto of the Redemption
531,42.030938,-93.648636,http://clui.org/ludb/site/ames-laboratory,Ames Laboratory
532,41.771423,-91.574135,http://clui.org/ludb/site/very-long-baseline-array-antenna-0,Very Long Baseline Array Antenna
533,41.729561,-93.251266,http://clui.org/ludb/site/trainland-usa,Trainland USA
534,38.734102,-77.830024,http://clui.org/ludb/site/warrenton-training-center-site-b,Warrenton Training Center Site B
535,37.843326,-75.478091,http://clui.org/ludb/site/wallops-flight-center-nasa,Wallops Flight Center (NASA)
536,37.09072,-76.381695,http://clui.org/ludb/site/langley-research-center-nasa,Langley Research Center (NASA)
537,38.664475,-78.483109,http://clui.org/ludb/site/luray-caverns,Luray Caverns
538,38.5275,-77.337776,http://clui.org/ludb/site/quantico-marine-corps-base,Quantico Marine Corps Base
539,37.256226,-77.33371,http://clui.org/ludb/site/fort-lee,Fort Lee
540,36.866985,-82.776749,http://clui.org/ludb/site/harry-w-meador-jr-coal-museum,Harry W. Meador Jr. Coal Museum
541,37.029964,-76.085815,http://clui.org/ludb/site/chesapeake-bay-bridge-tunnel,Chesapeake Bay Bridge-Tunnel
542,38.713173,-77.145309,http://clui.org/ludb/site/fort-belvoir,Fort Belvoir
543,38.877239,-77.072693,http://clui.org/ludb/site/arlington-national-cemetery,Arlington National Cemetery
544,38.881933,-77.4518,http://clui.org/ludb/site/national-reconnaissance-office-nro-headquarters,National Reconnaissance Office (NRO) Headquarters
545,38.747859,-77.673211,http://clui.org/ludb/site/vint-hill-farms,Vint Hill Farms
546,38.441891,-77.973404,http://clui.org/ludb/site/mount-pony-federal-reserve-center,Mount Pony Federal Reserve Center
547,37.010342,-76.314262,http://clui.org/ludb/site/fort-monroe,Fort Monroe
548,37.094723,-76.481667,http://clui.org/ludb/site/jefferson-lab,Jefferson Lab
549,36.809696,-76.029251,http://clui.org/ludb/site/oceana-naval-air-station,Oceana Naval Air Station
550,37.024464,-76.344406,http://clui.org/ludb/site/virginia-air-and-space-center,Virginia Air and Space Center
551,38.095394,-77.267914,http://clui.org/ludb/site/fort-a-p-hill,Fort A. P. Hill
552,38.95174,-77.146286,http://clui.org/ludb/site/cia-headquarters,CIA Headquarters
553,37.13076,-76.588226,http://clui.org/ludb/site/fort-eustis,Fort Eustis
