County, FIPS,AgeAdjustedRateP100K
"Marion County, Ohio(6,10)",39101,477.2
"Dawson County, Georgia(7,9)",13085,477.1
"Calhoun County, Mississippi(6,10)",28013,477.1
"Stokes County, North Carolina(6,10)",37169,476.9
"Jackson County, Michigan(6,10)",26075,476.9
"Scott County, Indiana(6,10)",18143,476.9
"Jefferson County, Tennessee(6,10)",47089,476.8
"Evangeline Parish, Louisiana(7,9)",22039,476.8
"White County, Arkansas(6,10)",5145,476.8
"Mitchell County, Texas(6,10)",48335,476.7
"Benton County, Missouri(6,10)",29015,476.7
"Hancock County, Tennessee(6,10)",47067,476.6
"Cocke County, Tennessee(6,10)",47029,476.5
"Otsego County, New York(6,10)",36077,476.4
"Harnett County, North Carolina(6,10)",37085,476.4
"Floyd County, Georgia(7,9)",13115,476.4
"Hanson County, South Dakota(6,10)",46061,476.2
"Keokuk County, Iowa(7,8)",19107,476.1
"Josephine County, Oregon(6,10)",41033,475.9
"Gregg County, Texas(6,10)",48183,475.9
"New York County, New York(6,10)",36061,475.9
"Person County, North Carolina(6,10)",37145,475.8
"Osceola County, Florida(6,10)",12097,475.8
"Oconto County, Wisconsin(6,10)",55083,475.8
"Mobile County, Alabama(6,10)",1097,475.7
"Bollinger County, Missouri(6,10)",29017,475.7
"Lewis County, Missouri(6,10)",29111,475.6
"Screven County, Georgia(7,9)",13251,475.6
"Cooper County, Missouri(6,10)",29053,475.5
"Lyon County, Iowa(7,8)",19119,475.5
"Jay County, Indiana(6,10)",18075,475.4
"Lincoln County, Montana(6,10)",30053,475.4
"Calhoun County, Alabama(6,10)",1015,475.4
"Vance County, North Carolina(6,10)",37181,475.4
"Wilcox County, Alabama(6,10)",1131,475.4
"Waukesha County, Wisconsin(6,10)",55133,475.3
"Pasquotank County, North Carolina(6,10)",37139,475.2
"Swain County, North Carolina(6,10)",37173,475.1
"Gasconade County, Missouri(6,10)",29073,475.1
"Butler County, Missouri(6,10)",29023,475
"Tuolumne County, California(7,9)",6109,475
"Horry County, South Carolina(6,10)",45051,475
"Faulk County, South Dakota(6,10)",46049,474.9
"Clark County, Ohio(6,10)",39023,474.9
"Cass County, Iowa(7,8)",19029,474.8
"Furnas County, Nebraska(6,10)",31065,474.8
"Calhoun County, Texas(6,10)",48057,474.8
"Pasco County, Florida(6,10)",12101,474.8
"Major County, Oklahoma(6,10)",40093,474.7
"Black Hawk County, Iowa(7,8)",19013,474.7
"Herkimer County, New York(6,10)",36043,474.5
"Mitchell County, Georgia(7,9)",13205,474.5
"McCook County, South Dakota(6,10)",46087,474.5
"Payette County, Idaho(6,10)",16075,474.5
"Lapeer County, Michigan(6,10)",26087,474.4
"Litchfield County, Connecticut(7,8)",9005,474.4
"Santa Clara County, California(7,9)",6085,474.4
"Allen Parish, Louisiana(7,9)",22003,474.4
"Glenn County, California(7,9)",6021,474.3
"Claiborne Parish, Louisiana(7,9)",22027,474.2
"Fallon County, Montana(6,10)",30025,474.2
"Plymouth County, Iowa(7,8)",19149,474.2
"Turner County, South Dakota(6,10)",46125,474.1
"Raleigh County, West Virginia(6,10)",54081,474.1
"Woodbury County, Iowa(7,8)",19193,474.1
"Henry County, Iowa(7,8)",19087,474.1
"Marin County, California(7,8)",6041,474.1
"Wilbarger County, Texas(6,10)",48487,474.1
"Cumberland County, Maine(6,10)",23005,473.9
"Clinton County, Iowa(7,8)",19045,473.8
"King County, Washington(7,8)",53033,473.8
"Berkeley County, West Virginia(6,10)",54003,473.8
"San Francisco County, California(7,8)",6075,473.7
"Clay County, Missouri(6,10)",29047,473.7
"Ray County, Missouri(6,10)",29177,473.6
"Rutland County, Vermont(6,10)",50021,473.6
"Marion County, Arkansas(6,10)",5089,473.6
"Steuben County, New York(6,10)",36101,473.4
"Avoyelles Parish, Louisiana(7,9)",22009,473.3
"Muskogee County, Oklahoma(6,10)",40101,473.2
"Orange County, Florida(6,10)",12095,473.2
"Houston County, Alabama(6,10)",1069,473.2
"Yazoo County, Mississippi(6,10)",28163,473.2
"Anne Arundel County, Maryland(6,10)",24003,473.1
"San Joaquin County, California(7,9)",6077,473.1
"Oconee County, Georgia(7,9)",13219,473
"Lawrence County, Alabama(6,10)",1079,473
"Van Buren County, Iowa(7,8)",19177,473
"Beaver County, Utah(7,8)",49001,473
"Hunt County, Texas(6,10)",48231,472.9
"Ouachita Parish, Louisiana(7,9)",22073,472.9
"Rock County, Wisconsin(6,10)",55105,472.9
"Kenosha County, Wisconsin(6,10)",55059,472.8
"Berrien County, Michigan(6,10)",26021,472.8
"Wilkes County, Georgia(7,9)",13317,472.7
"Washington County, Iowa(7,8)",19183,472.7
"Halifax County, North Carolina(6,10)",37083,472.7
"Worcester County, Maryland(6,10)",24047,472.6
"Grundy County, Iowa(7,8)",19075,472.6
"Blaine County, Oklahoma(6,10)",40011,472.5
"Bradley County, Tennessee(6,10)",47011,472.5
"Polk County, Oregon(6,10)",41053,472.5
"Shelby County, Missouri(6,10)",29205,472.4
"Carroll County, Tennessee(6,10)",47017,472.4
"Ector County, Texas(6,10)",48135,472.4
"Ulster County, New York(6,10)",36111,472.3
"Geneva County, Alabama(6,10)",1061,472.2
"Colquitt County, Georgia(7,9)",13071,472.2
"Clay County, Florida(6,10)",12019,472.2
"Sheboygan County, Wisconsin(6,10)",55117,472.2
"Coke County, Texas(6,10)",48081,471.9
"Walton County, Georgia(7,9)",13297,471.8
"Meriwether County, Georgia(7,9)",13199,471.7
"Clark County, Indiana(6,10)",18019,471.6
"Shelby County, Indiana(6,10)",18145,471.5
"Burke County, Georgia(7,9)",13033,471.4
"Douglas County, Nebraska(6,10)",31055,471.4
"Delaware County, Indiana(6,10)",18035,471.3
"Pickett County, Tennessee(6,10)",47137,471.2
"Camp County, Texas(6,10)",48063,471.2
"St. Charles County, Missouri(6,10)",29183,471.1
"Ritchie County, West Virginia(6,10)",54085,471.1
"Chickasaw County, Iowa(7,8)",19037,471
"Cherokee County, South Carolina(6,10)",45021,470.9
"Cleburne County, Alabama(6,10)",1029,470.9
"Sonoma County, California(7,9)",6097,470.8
"Marion County, Oregon(6,10)",41047,470.8
"Henry County, Tennessee(6,10)",47079,470.7
"Maury County, Tennessee(6,10)",47119,470.7
"Sweet Grass County, Montana(6,10)",30097,470.7
"Washington County, Ohio(6,10)",39167,470.6
"Dakota County, Nebraska(6,10)",31043,470.6
"Grayson County, Texas(6,10)",48181,470.6
"Oconee County, South Carolina(6,10)",45073,470.6
"Jefferson County, Ohio(6,10)",39081,470.5
"Morrow County, Oregon(6,10)",41049,470.5
"Cumberland County, Tennessee(6,10)",47035,470.4
"Baker County, Florida(6,10)",12003,470.4
"Muskingum County, Ohio(6,10)",39119,470.4
"Bedford County, Tennessee(6,10)",47003,470.4
"Coffee County, Tennessee(6,10)",47031,470.3
"Richardson County, Nebraska(6,10)",31147,470.2
"Pamlico County, North Carolina(6,10)",37137,470.2
"Lawrence County, Indiana(6,10)",18093,470.1
"Thurston County, Nebraska(6,10)",31173,470.1
"Pender County, North Carolina(6,10)",37141,470
"Winnebago County, Wisconsin(6,10)",55139,470
"Livingston County, New York(6,10)",36051,469.7
"Monroe County, Wisconsin(6,10)",55081,469.7
"Bolivar County, Mississippi(6,10)",28011,469.7
"Sullivan County, New Hampshire(6,10)",33019,469.6
"Buncombe County, North Carolina(6,10)",37021,469.6
"Houston County, Tennessee(6,10)",47083,469.5
"St. John the Baptist Parish, Louisiana(7,9)",22095,469.5
"Anderson County, South Carolina(6,10)",45007,469.4
"Caswell County, North Carolina(6,10)",37033,469.4
"Madison County, Mississippi(6,10)",28089,469.3
"Clinch County, Georgia(7,9)",13065,469.2
"Franklin County, Tennessee(6,10)",47051,469.1
"St. Charles Parish, Louisiana(7,9)",22089,469.1
"Sullivan County, Tennessee(6,10)",47163,469
"Sac County, Iowa(7,8)",19161,468.8
"San Patricio County, Texas(6,10)",48409,468.7
"Henderson County, Tennessee(6,10)",47077,468.7
"Sawyer County, Wisconsin(6,10)",55113,468.6
"Orangeburg County, South Carolina(6,10)",45075,468.4
"Jefferson Davis County, Mississippi(6,10)",28065,468.4
"Ozaukee County, Wisconsin(6,10)",55089,468.4
"Clinton County, Ohio(6,10)",39027,468.3
"Licking County, Ohio(6,10)",39089,468.3
"Keith County, Nebraska(6,10)",31101,468.2
"Calvert County, Maryland(6,10)",24009,468.2
"Washington County, Wisconsin(6,10)",55131,468.1
"Greene County, Tennessee(6,10)",47059,468
"Fayette County, West Virginia(6,10)",54019,467.8
"Columbia County, New York(6,10)",36021,467.7
"St. Louis City, Missouri(6,10)",29510,467.7
"Story County, Iowa(7,8)",19169,467.7
"Jackson County, North Carolina(6,10)",37099,467.7
"Monroe County, Arkansas(6,10)",5095,467.6
"Brooke County, West Virginia(6,10)",54009,467.6
"Island County, Washington(7,8)",53029,467.5
"Carroll County, Maryland(6,10)",24013,467.4
"Fayette County, Tennessee(6,10)",47047,467.3
"Lincoln County, Missouri(6,10)",29113,467.3
"Jasper County, Missouri(6,10)",29097,467.3
"Escambia County, Florida(6,10)",12033,467.3
"Richland County, Montana(6,10)",30083,467.3
"Kleberg County, Texas(6,10)",48273,467.2
"Mitchell County, North Carolina(6,10)",37121,467.2
"Johnson County, Missouri(6,10)",29101,467.1
"Carroll County, Ohio(6,10)",39019,467.1
"Cass County, Nebraska(6,10)",31025,467.1
"Clinton County, Missouri(6,10)",29049,467
"Davidson County, Tennessee(6,10)",47037,467
"Audrain County, Missouri(6,10)",29007,467
"Talbot County, Maryland(6,10)",24041,466.9
"Toombs County, Georgia(7,9)",13279,466.9
"East Baton Rouge Parish, Louisiana(7,9)",22033,466.9
"Arenac County, Michigan(6,10)",26011,466.9
"Washington County, Rhode Island(6,10)",44009,466.8
"Franklin County, New York(6,10)",36033,466.8
"Cheshire County, New Hampshire(6,10)",33005,466.8
"Franklin County, North Carolina(6,10)",37069,466.8
"Fayette County, Alabama(6,10)",1057,466.8
"Essex County, Vermont(6,10)",50009,466.7
"Washington County, Maryland(6,10)",24043,466.6
"Lake County, California(7,9)",6033,466.6
"Tishomingo County, Mississippi(6,10)",28141,466.6
"Spartanburg County, South Carolina(6,10)",45083,466.6
"Jasper County, South Carolina(6,10)",45053,466.5
"Toole County, Montana(6,10)",30101,466.4
"Hudson County, New Jersey(7,8)",34017,466.4
"Wyandot County, Ohio(6,10)",39175,466.4
"Huron County, Ohio(6,10)",39077,466.4
"Sagadahoc County, Maine(6,10)",23023,466.3
"Charleston County, South Carolina(6,10)",45019,466.3
"Multnomah County, Oregon(6,10)",41051,466.3
"Fulton County, Georgia(7,8)",13121,466.2
"Trumbull County, Ohio(6,10)",39155,466.2
"Orange County, California(7,9)",6059,466.1
"Creek County, Oklahoma(6,10)",40037,466
"Jackson County, West Virginia(6,10)",54035,466
"Worth County, Iowa(7,8)",19195,466
"Jasper County, Iowa(7,8)",19099,465.9
"Lorain County, Ohio(6,10)",39093,465.9
"Mahaska County, Iowa(7,8)",19123,465.8
"Stoddard County, Missouri(6,10)",29207,465.8
"Greenville County, South Carolina(6,10)",45045,465.8
"Pope County, Arkansas(6,10)",5115,465.6
"Moore County, Texas(6,10)",48341,465.6
"Carroll County, New Hampshire(6,10)",33003,465.5
"Ventura County, California(7,9)",6111,465.5
"Perry County, Arkansas(6,10)",5105,465.4
"White County, Georgia(7,9)",13311,465.2
"Bledsoe County, Tennessee(6,10)",47007,465.1
"Canyon County, Idaho(6,10)",16027,465.1
"Franklin County, Ohio(6,10)",39049,465.1
"Kent County, Michigan(6,10)",26081,465
"Simpson County, Mississippi(6,10)",28127,465
"Pointe Coupee Parish, Louisiana(7,9)",22077,465
"Coryell County, Texas(6,10)",48099,464.9
"Broward County, Florida(6,10)",12011,464.9
"Chippewa County, Wisconsin(6,10)",55017,464.9
"Grundy County, Tennessee(6,10)",47061,464.8
"Callaway County, Missouri(6,10)",29027,464.8
"Linn County, Iowa(7,8)",19113,464.7
"Kershaw County, South Carolina(6,10)",45055,464.7
"Unicoi County, Tennessee(6,10)",47171,464.6
"Athens County, Ohio(6,10)",39009,464.5
"Brevard County, Florida(6,10)",12009,464.4
"Hancock County, Indiana(6,10)",18059,464.4
"Armstrong County, Texas(6,10)",48011,464.4
"Pike County, Ohio(6,10)",39131,464.4
"Lincoln County, Idaho(6,10)",16063,464.4
"Craven County, North Carolina(6,10)",37049,464.4
"Marathon County, Wisconsin(6,10)",55073,464.3
"Montmorency County, Michigan(6,10)",26119,464.3
"Jones County, Iowa(7,8)",19105,464.2
"Deschutes County, Oregon(6,10)",41017,464.2
"Androscoggin County, Maine(6,10)",23001,464.2
"Palo Alto County, Iowa(7,8)",19147,464.2
"Tolland County, Connecticut(7,8)",9013,464.2
"Fond du Lac County, Wisconsin(6,10)",55039,464.1
"Caddo Parish, Louisiana(7,9)",22017,463.9
"Johnson County, Nebraska(6,10)",31097,463.8
"Marion County, Alabama(6,10)",1093,463.7
"La Crosse County, Wisconsin(6,10)",55063,463.6
"Iowa County, Iowa(7,8)",19095,463.6
"Ottawa County, Ohio(6,10)",39123,463.6
"Henderson County, North Carolina(6,10)",37089,463.6
"Garland County, Arkansas(6,10)",5051,463.6
"Roane County, West Virginia(6,10)",54087,463.5
"Alachua County, Florida(6,10)",12001,463.5
"Worth County, Georgia(7,9)",13321,463.4
"Wilson County, Tennessee(6,10)",47189,463.4
"Anson County, North Carolina(6,10)",37007,463.4
"McCurtain County, Oklahoma(6,10)",40089,463.4
"Rabun County, Georgia(7,9)",13241,463.3
"Greene County, Georgia(7)",13133,463.3
"Brazoria County, Texas(6,10)",48039,463.3
"Washington County, Vermont(6,10)",50023,463.2
"Gallia County, Ohio(6,10)",39053,463.2
"Crawford County, Arkansas(6,10)",5033,463
"Henderson County, Texas(6,10)",48213,463
"Ada County, Idaho(6,10)",16001,463
"Douglas County, Washington(6,10)",53017,462.9
"Howard County, Texas(6,10)",48227,462.9
"Monroe County, Tennessee(6,10)",47123,462.9
"Calhoun County, West Virginia(6,10)",54013,462.9
"Hendricks County, Indiana(6,10)",18063,462.9
"Jackson Parish, Louisiana(7,9)",22049,462.8
"Clayton County, Iowa(7,8)",19043,462.8
"Bradley County, Arkansas(6,10)",5011,462.8
"Yukon-Koyukuk Census Area, Alaska(6,10)",2290,462.8
"Rockdale County, Georgia(7,9)",13247,462.7
"Glacier County, Montana(6,10)",30035,462.7
"Yancey County, North Carolina(6,10)",37199,462.6
"Morehouse Parish, Louisiana(7,9)",22067,462.5
"Los Angeles County, California(7,9)",6037,462.5
"Castro County, Texas(6,10)",48069,462.5
"Cumberland County, North Carolina(6,10)",37051,462.4
"McDowell County, West Virginia(6,10)",54047,462.3
"Saginaw County, Michigan(6,10)",26145,462.2
"Hardeman County, Tennessee(6,10)",47069,462.2
"Caroline County, Maryland(6,10)",24011,462.2
"Union County, Ohio(6,10)",39159,462.2
"Hemphill County, Texas(6,10)",48211,462.2
"Tama County, Iowa(7,8)",19171,462.1
"Kaufman County, Texas(6,10)",48257,462.1
"Clatsop County, Oregon(6,10)",41007,462.1
"Merrick County, Nebraska(6,10)",31121,462
"Hamilton County, Tennessee(6,10)",47065,462
"Placer County, California(7,9)",6061,462
"Gilmer County, West Virginia(6,10)",54021,462
"San Benito County, California(7,9)",6069,462
"Meigs County, Tennessee(6,10)",47121,461.9
"Johnson County, Texas(6,10)",48251,461.9
"Boone County, Missouri(6,10)",29019,461.8
"Crawford County, Wisconsin(6,10)",55023,461.8
"Burt County, Nebraska(6,10)",31021,461.8
"Tate County, Mississippi(6,10)",28137,461.6
"Lee County, South Carolina(6,10)",45061,461.6
"Appanoose County, Iowa(7,8)",19007,461.6
"Edmunds County, South Dakota(6,10)",46045,461.5
"Jasper County, Mississippi(6,10)",28061,461.4
"Matanuska-Susitna Borough, Alaska(6,10)",2170,461.3
"DeKalb County, Georgia(7,8)",13089,461.2
"Floyd County, Indiana(6,10)",18043,461.2
"Yuba County, California(7,9)",6115,461
"Nolan County, Texas(6,10)",48353,461
"Rosebud County, Montana(6,10)",30087,460.9
"Franklin County, Vermont(6,10)",50011,460.9
"Linn County, Oregon(6,10)",41043,460.8
"Lake County, Montana(6,10)",30047,460.8
"Warren County, Tennessee(6,10)",47177,460.7
"Santa Cruz County, California(7,9)",6087,460.7
"Knox County, Maine(6,10)",23013,460.6
"Clark County, Wisconsin(6,10)",55019,460.6
"Warren County, Mississippi(6,10)",28149,460.6
"Windham County, Vermont(6,10)",50025,460.5
"Pettis County, Missouri(6,10)",29159,460.4
"Concordia Parish, Louisiana(7,9)",22029,460.4
"Twin Falls County, Idaho(6,10)",16083,460.4
"Maui County, Hawaii(7,9)",15009,460.4
"Jefferson County, Alabama(6,10)",1073,460.3
"Boise County, Idaho(6,10)",16015,460.3
"Champaign County, Ohio(6,10)",39021,460.2
"Harrison County, Missouri(6,10)",29081,460.2
"Catawba County, North Carolina(6,10)",37035,460.1
"Sharkey County, Mississippi(6,10)",28125,460.1
"Lawrence County, Ohio(6,10)",39087,460
"Fayette County, Iowa(7,8)",19065,460
"Crawford County, Iowa(7,8)",19047,460
"Shelby County, Iowa(7,8)",19165,459.9
"Monterey County, California(7,9)",6053,459.9
"Franklin County, Iowa(7,8)",19069,459.9
"Elbert County, Georgia(7,9)",13105,459.9
"Kootenai County, Idaho(6,10)",16055,459.8
"Switzerland County, Indiana(6,10)",18155,459.7
"Tarrant County, Texas(6,10)",48439,459.7
"Greenwood County, South Carolina(6,10)",45047,459.6
"Benzie County, Michigan(6,10)",26019,459.6
"San Diego County, California(7,9)",6073,459.6
"Twiggs County, Georgia(7,9)",13289,459.6
"Marshall County, West Virginia(6,10)",54051,459.5
"Orange County, Indiana(6,10)",18117,459.5
"Carbon County, Utah(7,8)",49007,459.4
"Hyde County, South Dakota(6,10)",46069,459.4
"Yell County, Arkansas(6,10)",5149,459.4
"Potter County, South Dakota(6,10)",46107,459.2
"Portage County, Ohio(6,10)",39133,459.1
"Putnam County, Georgia(7)",13237,459
"Montgomery County, Tennessee(6,10)",47125,459
"Gentry County, Missouri(6,10)",29075,459
"Nez Perce County, Idaho(6,10)",16069,458.9
"Henry County, Indiana(6,10)",18065,458.9
"Caledonia County, Vermont(6,10)",50005,458.9
"Fulton County, Indiana(6,10)",18049,458.8
"Parker County, Texas(6,10)",48367,458.8
"Custer County, Colorado(6,10)",8027,458.7
"Kingfisher County, Oklahoma(6,10)",40073,458.5
"El Paso County, Texas(6,10)",48141,458.5
"Pend Oreille County, Washington(6,10)",53051,458.5
"Gosper County, Nebraska(6,10)",31073,458.5
"Union County, Oregon(6,10)",41061,458.4
"Galveston County, Texas(6,10)",48167,458.4
"Etowah County, Alabama(6,10)",1055,458.3
"Webster County, Missouri(6,10)",29225,458.3
"Kent County, Maryland(6,10)",24029,458.3
"Buena Vista County, Iowa(7,8)",19021,458.3
"Randolph County, Alabama(6,10)",1111,458.2
"Dallas County, Arkansas(6,10)",5039,458.2
"Haywood County, North Carolina(6,10)",37087,458.1
"Rutherford County, North Carolina(6,10)",37161,458.1
"Carter County, Oklahoma(6,10)",40019,458.1
"Williamsburg County, South Carolina(6,10)",45089,458.1
"Benton County, Washington(6,10)",53005,458.1
"Hocking County, Ohio(6,10)",39073,458
"Chatham County, Georgia(7,9)",13051,458
"Washington County, Tennessee(6,10)",47179,458
"Somerset County, Maine(6,10)",23025,457.9
"Jefferson County, Missouri(6,10)",29099,457.9
"Clermont County, Ohio(6,10)",39025,457.9
"Owen County, Indiana(6,10)",18119,457.9
"Clackamas County, Oregon(6,10)",41005,457.9
"Talladega County, Alabama(6,10)",1121,457.9
"Stillwater County, Montana(6,10)",30095,457.7
"St. James Parish, Louisiana(7,9)",22093,457.7
"Lampasas County, Texas(6,10)",48281,457.5
"Pleasants County, West Virginia(6,10)",54073,457.5
"Johnson County, Iowa(7,8)",19103,457.5
"Long County, Georgia(7,9)",13183,457.3
"Durham County, North Carolina(6,10)",37063,457.2
"Okanogan County, Washington(6,10)",53047,457.1
"Mason County, West Virginia(6,10)",54053,457.1
"Shelby County, Tennessee(6,10)",47157,457
"Luna County, New Mexico(7,8)",35029,456.8
"Dawson County, Montana(6,10)",30021,456.8
"Jefferson County, Texas(6,10)",48245,456.8
"Lincoln County, Mississippi(6,10)",28085,456.7
"Warrick County, Indiana(6,10)",18173,456.7
"Deaf Smith County, Texas(6,10)",48117,456.7
"Lincoln County, North Carolina(6,10)",37109,456.6
"Rutherford County, Tennessee(6,10)",47149,456.6
"Benton County, Indiana(6,10)",18007,456.5
"Alameda County, California(7,8)",6001,456.4
"Columbia County, Florida(6,10)",12023,456.4
"Crawford County, Ohio(6,10)",39033,456.4
"Georgetown County, South Carolina(6,10)",45043,456.3
"Mellette County, South Dakota(6,10)",46095,456.3
"Perry County, Alabama(6,10)",1105,456.3
"Clarke County, Georgia(7,9)",13059,456.2
"Porter County, Indiana(6,10)",18127,456.2
"DeWitt County, Texas(6,10)",48123,456.1
"Jefferson County, Montana(6,10)",30043,456.1
"Richmond County, Georgia(7,9)",13245,456.1
"Evans County, Georgia(7,9)",13109,456
"Hampton County, South Carolina(6,10)",45049,455.9
"Wayne County, Tennessee(6,10)",47181,455.9
"Humboldt County, California(7,9)",6023,455.8
"Oglethorpe County, Georgia(7,9)",13221,455.7
"Ripley County, Missouri(6,10)",29181,455.6
"Upshur County, West Virginia(6,10)",54097,455.6
"Fountain County, Indiana(6,10)",18045,455.6
"Yellowstone County, Montana(6,10)",30111,455.6
"Macon County, North Carolina(6,10)",37113,455.5
"Coweta County, Georgia(7,9)",13077,455.5
"Marshall County, Mississippi(6,10)",28093,455.4
"Lincoln County, Nebraska(6,10)",31111,455.3
"Walker County, Texas(6,10)",48471,455.3
"Yamhill County, Oregon(6,10)",41071,455.2
"St. Clair County, Michigan(6,10)",26147,455.2
"Saline County, Arkansas(6,10)",5125,455.1
"Ashe County, North Carolina(6,10)",37009,455.1
"Louisa County, Iowa(7,8)",19115,454.9
"Chase County, Nebraska(6,10)",31029,454.9
"Union County, Arkansas(6,10)",5139,454.9
"Jasper County, Indiana(6,10)",18073,454.9
"Newport County, Rhode Island(6,10)",44005,454.8
"Blaine County, Montana(6,10)",30005,454.8
"Emmet County, Iowa(7,8)",19063,454.8
"Pocahontas County, Iowa(7,8)",19151,454.8
"Santa Barbara County, California(7,9)",6083,454.8
"Adams County, Ohio(6,10)",39001,454.8
"Mineral County, West Virginia(6,10)",54057,454.7
"Yolo County, California(7,9)",6113,454.7
"Clarke County, Mississippi(6,10)",28023,454.7
"Fremont County, Colorado(6,10)",8043,454.6
"Citrus County, Florida(6,10)",12017,454.6
"Tippecanoe County, Indiana(6,10)",18157,454.5
"Sarpy County, Nebraska(6,10)",31153,454.5
"Umatilla County, Oregon(6,10)",41059,454.4
"Cowlitz County, Washington(6,10)",53015,454.4
"Desha County, Arkansas(6,10)",5041,454.3
"Lamar County, Texas(6,10)",48277,454.3
"Minidoka County, Idaho(6,10)",16067,454.2
"Tulsa County, Oklahoma(6,10)",40143,454.2
"Randolph County, Missouri(6,10)",29175,454.2
"Calhoun County, Georgia(7,9)",13037,454.2
"Sebastian County, Arkansas(6,10)",5131,454.1
"Delaware County, New York(6,10)",36025,454
"Bartholomew County, Indiana(6,10)",18005,454
"Morrow County, Ohio(6,10)",39117,453.9
"Pike County, Georgia(7,9)",13231,453.9
"Flagler County, Florida(6,10)",12035,453.9
"Comanche County, Texas(6,10)",48093,453.8
"Colbert County, Alabama(6,10)",1033,453.8
"Baldwin County, Georgia(7,9)",13009,453.8
"Merced County, California(7,9)",6047,453.8
"Hughes County, Oklahoma(6,10)",40063,453.7
"Conecuh County, Alabama(6,10)",1035,453.7
"Livingston County, Missouri(6,10)",29117,453.6
"Houston County, Georgia(7,9)",13153,453.5
"El Dorado County, California(7,9)",6017,453.5
"Logan County, Ohio(6,10)",39091,453.5
"Kosciusko County, Indiana(6,10)",18085,453.4
"Oklahoma County, Oklahoma(6,10)",40109,453.4
"Coosa County, Alabama(6,10)",1037,453.4
"Chelan County, Washington(6,10)",53007,453.4
"Columbia County, Washington(6,10)",53013,453.3
"Medina County, Ohio(6,10)",39103,453.3
"Natchitoches Parish, Louisiana(7,9)",22069,453.3
"Winston County, Mississippi(6,10)",28159,453.2
"Madison County, Indiana(6,10)",18095,453.1
"Outagamie County, Wisconsin(6,10)",55087,453.1
"Harper County, Oklahoma(6,10)",40059,452.9
"Hernando County, Florida(6,10)",12053,452.9
"Dale County, Alabama(6,10)",1045,452.8
"Darke County, Ohio(6,10)",39037,452.7
"Charles Mix County, South Dakota(6,10)",46023,452.7
"Hitchcock County, Nebraska(6,10)",31087,452.5
"Wood County, Wisconsin(6,10)",55141,452.5
"Guthrie County, Iowa(7,8)",19077,452.4
"Paulding County, Ohio(6,10)",39125,452.4
"Cherokee County, Iowa(7,8)",19035,452.2
"Imperial County, California(7,9)",6025,452
"Lucas County, Iowa(7,8)",19117,452
"Lavaca County, Texas(6,10)",48285,451.8
"Essex County, New York(6,10)",36031,451.8
"Harlan County, Nebraska(6,10)",31083,451.8
"Dallas County, Texas(6,10)",48113,451.7
"Montgomery County, Ohio(6,10)",39113,451.6
"Klamath County, Oregon(6,10)",41035,451.5
"York County, South Carolina(6,10)",45091,451.5
"Robeson County, North Carolina(6,10)",37155,451.4
"Hamilton County, Ohio(6,10)",39061,451.3
"Stanislaus County, California(7,9)",6099,451.1
"Manistee County, Michigan(6,10)",26101,451.1
"Marion County, Indiana(6,10)",18097,450.6
"Bradford County, Florida(6,10)",12007,450.5
"Franklin County, Alabama(6,10)",1059,450.5
"Allen County, Ohio(6,10)",39003,450.5
"Faulkner County, Arkansas(6,10)",5045,450.5
"Union County, Indiana(6,10)",18161,450.4
"Natrona County, Wyoming(6,10)",56025,450.4
"Coffee County, Georgia(7,9)",13069,450.3
"Clarke County, Iowa(7,8)",19039,450.3
"Wake County, North Carolina(6,10)",37183,450.3
"Madison County, Nebraska(6,10)",31119,450.3
"Coahoma County, Mississippi(6,10)",28027,450.2
"Baldwin County, Alabama(6,10)",1003,450.1
"Baker County, Georgia(7,9)",13007,450
"Covington County, Mississippi(6,10)",28031,450
"Pike County, Alabama(6,10)",1109,449.9
"Tuscaloosa County, Alabama(6,10)",1125,449.9
"Fannin County, Georgia(7,9)",13111,449.9
"Grady County, Georgia(7,9)",13131,449.8
"Marion County, Mississippi(6,10)",28091,449.7
"Yadkin County, North Carolina(6,10)",37197,449.7
"Mecklenburg County, North Carolina(6,10)",37119,449.7
"Brown County, Wisconsin(6,10)",55009,449.6
"Grant County, Nebraska(6,10)",31075,449.6
"Jackson County, Alabama(6,10)",1071,449.6
"Mohave County, Arizona(6,10)",4015,449.5
"Nodaway County, Missouri(6,10)",29147,449.5
"Lewis County, Idaho(6,10)",16061,449.4
"White County, Indiana(6,10)",18181,449.3
"Coshocton County, Ohio(6,10)",39031,449.2
"Fairfield County, South Carolina(6,10)",45039,449.1
"Marengo County, Alabama(6,10)",1091,449.1
"Prairie County, Arkansas(6,10)",5117,449
"Jackson County, Missouri(6,10)",29095,448.9
"Dixie County, Florida(6,10)",12029,448.9
"Okmulgee County, Oklahoma(6,10)",40111,448.9
"Irwin County, Georgia(7,9)",13155,448.8
"Val Verde County, Texas(6,10)",48465,448.8
"Sampson County, North Carolina(6,10)",37163,448.6
"Pickaway County, Ohio(6,10)",39129,448.6
"Richland County, South Carolina(6,10)",45079,448.6
"Milam County, Texas(6,10)",48331,448.6
"Niobrara County, Wyoming(6,10)",56027,448.6
"Tuscola County, Michigan(6,10)",26157,448.5
"Cleveland County, Oklahoma(6,10)",40027,448.4
"Limestone County, Alabama(6,10)",1083,448.3
"Mineral County, Montana(6,10)",30061,448.2
"Hardee County, Florida(6,10)",12049,448.2
"Marquette County, Wisconsin(6,10)",55077,448.1
