County, FIPS,AgeAdjustedRateP100K
"Pierce County, Washington(7,8)",53053,513.7
"Marion County, West Virginia(6,10)",54049,513.3
"Rockingham County, North Carolina(6,10)",37157,513
"Harrison County, Mississippi(6,10)",28047,512.7
"Des Moines County, Iowa(7,8)",19057,512.4
"Niagara County, New York(6,10)",36063,512
"Polk County, Georgia(7,9)",13233,511.5
"Allegany County, Maryland(6,10)",24001,511.5
"Pike County, Missouri(6,10)",29163,511.5
"Rockingham County, New Hampshire(6,10)",33015,511.4
"Dickinson County, Iowa(7,8)",19059,511.4
"Duval County, Florida(6,10)",12031,511.2
"Kanawha County, West Virginia(6,10)",54039,511.1
"Bronx County, New York(6,10)",36005,511.1
"Lamar County, Georgia(7,9)",13171,511
"Pickens County, Georgia(7,9)",13227,510.9
"Fulton County, New York(6,10)",36035,510.8
"Claiborne County, Tennessee(6,10)",47025,510.7
"Wetzel County, West Virginia(6,10)",54103,510.4
"Levy County, Florida(6,10)",12075,510.3
"Oneida County, Wisconsin(6,10)",55085,510.2
"Stone County, Mississippi(6,10)",28131,510
"Jackson County, Georgia(7,9)",13157,509.9
"Napa County, California(7,9)",6055,509.8
"Caldwell County, Missouri(6,10)",29025,509.7
"Jones County, North Carolina(6,10)",37103,509.1
"Baltimore City, Maryland(6,10)",24510,508.8
"Westchester County, New York(6,10)",36119,508.8
"Genesee County, Michigan(6,10)",26049,508.7
"Flathead County, Montana(6,10)",30029,508.7
"Grays Harbor County, Washington(7,8)",53027,508.6
"Forest County, Wisconsin(6,10)",55041,508.4
"Merrimack County, New Hampshire(6,10)",33013,508.4
"Montgomery County, New York(6,10)",36057,508.3
"Cortland County, New York(6,10)",36023,508.3
"Henry County, Missouri(6,10)",29083,508.2
"Hall County, Georgia(7,9)",13139,508.1
"McClain County, Oklahoma(6,10)",40087,508
"Richmond County, North Carolina(6,10)",37153,507.8
"Terrell County, Georgia(7,9)",13273,507.8
"Boone County, Nebraska(6,10)",31011,507.8
"Grainger County, Tennessee(6,10)",47057,507.7
"Floyd County, Iowa(7,8)",19067,507.7
"Webster County, Mississippi(6,10)",28155,507.5
"Hickman County, Tennessee(6,10)",47081,507.2
"Martin County, North Carolina(6,10)",37117,507.1
"Polk County, Florida(6,10)",12105,506.8
"Saratoga County, New York(6,10)",36091,506.7
