County, FIPS,rate
"Logan County, Ohio(6,10)",39091,128.4
"Muscatine County, Iowa(7,8)",19139,128.4
"Alexander County, North Carolina(6,10)",37003,128.4
"Pueblo County, Colorado(6,10)",8101,128.4
"Polk County, Georgia(7,9)",13233,128.3
"Davie County, North Carolina(6,10)",37059,128.3
"Flagler County, Florida(6,10)",12035,128.3
"Cherokee County, Georgia(7,9)",13057,128.3
"Richmond County, North Carolina(6,10)",37153,128.3
"Cibola County, New Mexico(7,8)",35006,128.3
"Knox County, Tennessee(6,10)",47093,128.2
"Franklin County, North Carolina(6,10)",37069,128.2
"Linn County, Iowa(7,8)",19113,128.2
"Mackinac County, Michigan(6,10)",26097,128.2 #  
"Laramie County, Wyoming(6,10)",56021,128.1
"Gratiot County, Michigan(6,10)",26057,128.1 #  
"Florence County, Wisconsin(6,10)",55037,128.1
"Hickman County, Tennessee(6,10)",47081,128.1
"Bibb County, Georgia(7,9)",13021,128.1
"Lake County, Indiana(6,10)",18089,128.1
"Tippecanoe County, Indiana(6,10)",18157,128
"Quay County, New Mexico(7,8)",35037,128
"Hocking County, Ohio(6,10)",39073,128
"Ector County, Texas(6,10)",48135,128
"Tioga County, New York(6,10)",36107,128
"Gaston County, North Carolina(6,10)",37071,128
"Lincoln County, Wisconsin(6,10)",55069,127.9
"Woodruff County, Arkansas(6,10)",5147,127.9
"Chester County, South Carolina(6,10)",45023,127.9
"Dorchester County, Maryland(6,10)",24019,127.8
"Ocean County, New Jersey(7,8)",34029,127.8
"Madison County, Nebraska(6,10)",31119,127.8
"Lincoln County, South Dakota(6,10)",46083,127.8
"Washington County, Vermont(6,10)",50023,127.8
"Escambia County, Florida(6,10)",12033,127.8
"Butler County, Missouri(6,10)",29023,127.7
"Audrain County, Missouri(6,10)",29007,127.7
"Marion County, Indiana(6,10)",18097,127.7
"Twin Falls County, Idaho(6,10)",16083,127.7
"Pierce County, Georgia(7,9)",13229,127.7
"Butler County, Nebraska(6,10)",31023,127.6
"Marion County, Iowa(7,8)",19125,127.6
"Ashland County, Ohio(6,10)",39005,127.6
"Williamsburg County, South Carolina(6,10)",45089,127.6
"Holmes County, Mississippi(6,10)",28051,127.6
"Jefferson County, Washington(7,8)",53031,127.5
"Tarrant County, Texas(6,10)",48439,127.5
"Carteret County, North Carolina(6,10)",37031,127.4
"Montgomery County, Ohio(6,10)",39113,127.4
"Schoharie County, New York(6,10)",36095,127.4
"Hudson County, New Jersey(7,8)",34017,127.4
"Harrison County, Missouri(6,10)",29081,127.4
"Calhoun County, South Carolina(6,10)",45017,127.4
"Macon County, Alabama(6,10)",1087,127.4
"Hillsborough County, Florida(6,10)",12057,127.3
"Sioux County, Iowa(7,8)",19167,127.3
"Wilbarger County, Texas(6,10)",48487,127.3
"Bell County, Texas(6,10)",48027,127.3
"Benton County, Iowa(7,8)",19011,127.3
"Davis County, Utah(7,8)",49011,127.2
"Palm Beach County, Florida(6,10)",12099,127.2
"Wilson County, North Carolina(6,10)",37195,127.2
"Rabun County, Georgia(7,9)",13241,127.1
"Buchanan County, Iowa(7,8)",19019,127.1
"Ontario County, New York(6,10)",36069,127.1
"Washington County, Texas(6,10)",48477,127.1
"Potter County, Texas(6,10)",48375,127.1
"Grant County, Washington(6,10)",53025,127
"Franklin County, Vermont(6,10)",50011,127
"Blaine County, Oklahoma(6,10)",40011,127
"Latah County, Idaho(6,10)",16057,127
"Putnam County, West Virginia(6,10)",54079,127
"Athens County, Ohio(6,10)",39009,127
"Pend Oreille County, Washington(6,10)",53051,127
"Ray County, Missouri(6,10)",29177,127
"Chickasaw County, Mississippi(6,10)",28017,127
"Cherokee County, Texas(6,10)",48073,127
"Taylor County, Texas(6,10)",48441,126.9
"Wood County, Wisconsin(6,10)",55141,126.9
"Maricopa County, Arizona(6,10)",4013,126.9
"Chelan County, Washington(6,10)",53007,126.8
"La Plata County, Colorado(6,10)",8067,126.7
"Polk County, Florida(6,10)",12105,126.7
"Coos County, Oregon(6,10)",41011,126.7
"Kalamazoo County, Michigan(6,10)",26077,126.7 #  
"Lamar County, Alabama(6,10)",1075,126.7
"Lexington County, South Carolina(6,10)",45063,126.7
"Rutland County, Vermont(6,10)",50021,126.6
"Jefferson County, Georgia(7)",13163,126.6
"Greene County, Missouri(6,10)",29077,126.6
"Yakima County, Washington(6,10)",53077,126.5
"Canadian County, Oklahoma(6,10)",40017,126.5
"Shiawassee County, Michigan(6,10)",26155,126.5 #  
"Warren County, New York(6,10)",36113,126.5
"Beaufort County, South Carolina(6,10)",45013,126.5
"Mason County, Washington(7,8)",53045,126.5
"Yancey County, North Carolina(6,10)",37199,126.4
"Modoc County, California(7,9)",6049,126.4
"Iberia Parish, Louisiana(7,9)",22045,126.4
"Wayne County, Missouri(6,10)",29223,126.4
"Grundy County, Iowa(7,8)",19075,126.4
"Waupaca County, Wisconsin(6,10)",55135,126.4
"Sauk County, Wisconsin(6,10)",55111,126.3
"Orange County, Florida(6,10)",12095,126.3
"Morehouse Parish, Louisiana(7,9)",22067,126.3
"Wilson County, Tennessee(6,10)",47189,126.3
"Logan County, Oklahoma(6,10)",40083,126.3
"Lincoln County, North Carolina(6,10)",37109,126.3
"Eau Claire County, Wisconsin(6,10)",55035,126.2
"Runnels County, Texas(6,10)",48399,126.1
"Val Verde County, Texas(6,10)",48465,126.1
"Oconee County, South Carolina(6,10)",45073,126.1
"West Baton Rouge Parish, Louisiana(7,9)",22121,126.1
"Cape May County, New Jersey(7,8)",34009,126.1
"Riverside County, California(7,9)",6065,126.1
"Merced County, California(7,9)",6047,126
"Randall County, Texas(6,10)",48381,126
"Orleans County, Vermont(6,10)",50019,126
"Sullivan County, New Hampshire(6,10)",33019,126
"Stanislaus County, California(7,9)",6099,126
"Porter County, Indiana(6,10)",18127,125.9
"Galveston County, Texas(6,10)",48167,125.9
"San Bernardino County, California(7,9)",6071,125.9
"Mingo County, West Virginia(6,10)",54059,125.9
"Morrill County, Nebraska(6,10)",31123,125.9
"Monroe County, West Virginia(6,10)",54063,125.9
"Dakota County, Nebraska(6,10)",31043,125.9
"Rensselaer County, New York(6,10)",36083,125.9
"Barnwell County, South Carolina(6,10)",45011,125.8
"Genesee County, Michigan(6,10)",26049,125.8 #  
"Antelope County, Nebraska(6,10)",31003,125.8
"Izard County, Arkansas(6,10)",5065,125.7
"DeKalb County, Missouri(6,10)",29063,125.7
"Linn County, Oregon(6,10)",41043,125.7
"Smith County, Texas(6,10)",48423,125.6
"San Joaquin County, California(7,9)",6077,125.6
"Orleans County, New York(6,10)",36073,125.6
"Davidson County, North Carolina(6,10)",37057,125.5
"Kauai County, Hawaii(7,9)",15007,125.5
"Chenango County, New York(6,10)",36017,125.5
"Berkeley County, West Virginia(6,10)",54003,125.5
"DeKalb County, Indiana(6,10)",18033,125.5
"Carroll County, New Hampshire(6,10)",33003,125.5
"Wright County, Iowa(7,8)",19197,125.5
"Meriwether County, Georgia(7,9)",13199,125.5
"Wapello County, Iowa(7,8)",19179,125.4
"Crawford County, Ohio(6,10)",39033,125.4
"Hall County, Georgia(7,9)",13139,125.3
"Cleveland County, Oklahoma(6,10)",40027,125.3
"Scott County, Iowa(7,8)",19163,125.3
"Deschutes County, Oregon(6,10)",41017,125.3
"Butler County, Ohio(6,10)",39017,125.3
"Sarasota County, Florida(6,10)",12115,125.2
"Scurry County, Texas(6,10)",48415,125.2
"Dawson County, Georgia(7,9)",13085,125.2
"Macon County, Georgia(7,9)",13193,125.2
"Bartholomew County, Indiana(6,10)",18005,125.2
"Miller County, Georgia(7,9)",13201,125.2
"Pickens County, South Carolina(6,10)",45077,125.1
"Liberty County, Florida(6,10)",12077,125.1
"Fairbanks North Star, Alaska(6,10)",2090,125.1
"Lincoln County, Oregon(6,10)",41041,125.1
"Franklin County, Georgia(7,9)",13119,125.1
"Marion County, Oregon(6,10)",41047,125
"Mitchell County, Texas(6,10)",48335,125
"Windham County, Vermont(6,10)",50025,124.9
"Frederick County, Maryland(6,10)",24021,124.9
"Hawaii County, Hawaii(7,9)",15001,124.9
"Bartow County, Georgia(7,9)",13015,124.9
"Medina County, Ohio(6,10)",39103,124.9
"Pointe Coupee Parish, Louisiana(7,9)",22077,124.9
"Sussex County, New Jersey(7,8)",34037,124.8
"Portage County, Wisconsin(6,10)",55097,124.8
"Ulster County, New York(6,10)",36111,124.7
"Emmet County, Michigan(6,10)",26047,124.7 #  
"Macomb County, Michigan(7,8)",26099,124.7
"Chowan County, North Carolina(6,10)",37041,124.6
"Perry County, Mississippi(6,10)",28111,124.6
"Scotland County, North Carolina(6,10)",37165,124.6
"Madison County, Alabama(6,10)",1089,124.6
"Clare County, Michigan(6,10)",26035,124.6 #  
"Lancaster County, Nebraska(6,10)",31109,124.5
"Flathead County, Montana(6,10)",30029,124.5
"Monroe County, Indiana(6,10)",18105,124.5
"Calumet County, Wisconsin(6,10)",55015,124.5
"Platte County, Missouri(6,10)",29165,124.4
"Howard County, Arkansas(6,10)",5061,124.4
"Live Oak County, Texas(6,10)",48297,124.4
"Boise County, Idaho(6,10)",16015,124.4
"Harrison County, Indiana(6,10)",18061,124.3
"Brazoria County, Texas(6,10)",48039,124.3
"Crawford County, Missouri(6,10)",29055,124.3
"Gordon County, Georgia(7,9)",13129,124.3
"Guadalupe County, Texas(6,10)",48187,124.3
"Mono County, California(7,9)",6051,124.2
"Seneca County, New York(6,10)",36099,124.2
"Coffee County, Alabama(6,10)",1031,124.2
"Osage County, Missouri(6,10)",29151,124.2
"Rutherford County, North Carolina(6,10)",37161,124.1
"Hamblen County, Tennessee(6,10)",47063,124.1
"Webster County, Mississippi(6,10)",28155,124.1
"Union County, Georgia(7,9)",13291,124.1
"Monona County, Iowa(7,8)",19133,124.1
"Chemung County, New York(6,10)",36015,124
"Ingham County, Michigan(6,10)",26065,124 #  
"Hughes County, Oklahoma(6,10)",40063,124
"Clark County, Wisconsin(6,10)",55019,124
"Jay County, Indiana(6,10)",18075,124
"Webster County, West Virginia(6,10)",54101,123.9
"Raleigh County, West Virginia(6,10)",54081,123.9
"Allegany County, Maryland(6,10)",24001,123.8
"Cass County, Nebraska(6,10)",31025,123.7
"Columbia County, Georgia(7,9)",13073,123.7
"Robertson County, Tennessee(6,10)",47147,123.6
"Rutherford County, Tennessee(6,10)",47149,123.6
"Cass County, Indiana(6,10)",18017,123.6
"Treutlen County, Georgia(7,9)",13283,123.6
"Rio Blanco County, Colorado(6,10)",8103,123.5
"Scioto County, Ohio(6,10)",39145,123.5
"Sanders County, Montana(6,10)",30089,123.4
"Callaway County, Missouri(6,10)",29027,123.4
"Van Buren County, Arkansas(6,10)",5141,123.4
"Lorain County, Ohio(6,10)",39093,123.4
"New Hanover County, North Carolina(6,10)",37129,123.4
"St. Joseph County, Indiana(6,10)",18141,123.4
"Walla Walla County, Washington(6,10)",53071,123.3
"Custer County, Colorado(6,10)",8027,123.3
"Harrison County, Mississippi(6,10)",28047,123.3
"Henry County, Georgia(7,9)",13151,123.3
"Jones County, North Carolina(6,10)",37103,123.3
"Litchfield County, Connecticut(7,8)",9005,123.3
"Tattnall County, Georgia(7,9)",13267,123.3
"St. Louis City, Missouri(6,10)",29510,123.2
"Iberville Parish, Louisiana(7,9)",22047,123.2
"Franklin County, Iowa(7,8)",19069,123.2
"Houston County, Georgia(7,9)",13153,123.2
"Clay County, Florida(6,10)",12019,123.2
"Buchanan County, Missouri(6,10)",29021,123.2
"Natrona County, Wyoming(6,10)",56025,123.2
"Lee County, Mississippi(6,10)",28081,123.1
"Knox County, Maine(6,10)",23013,123.1
"Madison County, North Carolina(6,10)",37115,123.1
"Logan County, Colorado(6,10)",8075,123.1
"Bremer County, Iowa(7,8)",19017,123.1
"Richardson County, Nebraska(6,10)",31147,123.1
"Camden County, Missouri(6,10)",29029,123.1
"Elmore County, Alabama(6,10)",1051,123
"Washington County, Mississippi(6,10)",28151,123
"Glynn County, Georgia(7,9)",13127,123
"McCook County, South Dakota(6,10)",46087,123
"Kingfisher County, Oklahoma(6,10)",40073,122.9
"Burke County, North Carolina(6,10)",37023,122.9
"Crawford County, Arkansas(6,10)",5033,122.8
"Clay County, Nebraska(6,10)",31035,122.8
"El Paso County, Colorado(6,10)",8041,122.7
"Perry County, Indiana(6,10)",18123,122.7
"Gage County, Nebraska(6,10)",31067,122.7
"Charlevoix County, Michigan(6,10)",26029,122.7 #  
"Lee County, Iowa(7,8)",19111,122.7
"Paulding County, Georgia(7,9)",13223,122.6
"Sampson County, North Carolina(6,10)",37163,122.6
"Oklahoma County, Oklahoma(6,10)",40109,122.6
"Ohio County, West Virginia(6,10)",54069,122.6
"Floyd County, Georgia(7,9)",13115,122.6
"Jefferson County, Oregon(6,10)",41031,122.6
"Fairfield County, Ohio(6,10)",39045,122.5
"Cumberland County, North Carolina(6,10)",37051,122.5
"Franklin County, Alabama(6,10)",1059,122.5
"Sullivan County, Tennessee(6,10)",47163,122.5
"San Miguel County, Colorado(6,10)",8113,122.5
"Blount County, Tennessee(6,10)",47009,122.3
"Summit County, Utah(7,8)",49043,122.3
"Duplin County, North Carolina(6,10)",37061,122.3
"Jasper County, Indiana(6,10)",18073,122.3
"Aiken County, South Carolina(6,10)",45003,122.2
"Dawson County, Texas(6,10)",48115,122.2
"Seminole County, Florida(6,10)",12117,122.2
"Dearborn County, Indiana(6,10)",18029,122.2
"Putnam County, Florida(6,10)",12107,122.1
"Routt County, Colorado(6,10)",8107,122.1
"Coconino County, Arizona(6,10)",4005,122.1
"Rock County, Wisconsin(6,10)",55105,122.1
"Towns County, Georgia(7,9)",13281,122.1
"Kenosha County, Wisconsin(6,10)",55059,122.1
"Franklin County, Idaho(6,10)",16041,122
"Ferry County, Washington(6,10)",53019,122
"Phillips County, Arkansas(6,10)",5107,121.9
"Spalding County, Georgia(7,9)",13255,121.9
"Brown County, Wisconsin(6,10)",55009,121.9
"Madison County, Tennessee(6,10)",47113,121.8
"Rankin County, Mississippi(6,10)",28121,121.8
"Kendall County, Texas(6,10)",48259,121.8
"McDowell County, North Carolina(6,10)",37111,121.8
"Mobile County, Alabama(6,10)",1097,121.8
"Beadle County, South Dakota(6,10)",46005,121.7
"Pinellas County, Florida(6,10)",12103,121.7
"Gilpin County, Colorado(6,10)",8047,121.7
"Rio Arriba County, New Mexico(7,8)",35039,121.6
"Bollinger County, Missouri(6,10)",29017,121.6
"Fremont County, Colorado(6,10)",8043,121.6
"Baker County, Oregon(6,10)",41001,121.6
"Hancock County, Maine(6,10)",23009,121.6
"Washington County, Ohio(6,10)",39167,121.6
"Cheboygan County, Michigan(6,10)",26031,121.5 #  
"Ravalli County, Montana(6,10)",30081,121.5
"Prowers County, Colorado(6,10)",8099,121.5
"Newton County, Indiana(6,10)",18111,121.5
"Pitt County, North Carolina(6,10)",37147,121.5
"Tipton County, Tennessee(6,10)",47167,121.5
"Tucker County, West Virginia(6,10)",54093,121.5
"Williamson County, Texas(6,10)",48491,121.4
"Newton County, Georgia(7,9)",13217,121.4
"Sabine Parish, Louisiana(7,9)",22085,121.4
"Greer County, Oklahoma(6,10)",40055,121.4
"Union County, Ohio(6,10)",39159,121.4
"Randolph County, Indiana(6,10)",18135,121.4
"Caldwell County, Texas(6,10)",48055,121.3
"Benton County, Missouri(6,10)",29015,121.3
"Stanly County, North Carolina(6,10)",37167,121.3
"Tooele County, Utah(7,8)",49045,121.3
"Wayne County, North Carolina(6,10)",37191,121.2
"Hardin County, Ohio(6,10)",39065,121.2
"Lowndes County, Georgia(7,9)",13185,121.2
"Chautauqua County, New York(6,10)",36013,121.2
"Putnam County, Tennessee(6,10)",47141,121.2
"St. Martin Parish, Louisiana(7,9)",22099,121.2
"Kent County, Maryland(6,10)",24029,121.1
"Colbert County, Alabama(6,10)",1033,121.1
"Christian County, Missouri(6,10)",29043,121.1
"Stevens County, Washington(6,10)",53065,121.1
"Ripley County, Missouri(6,10)",29181,121.1
"Keokuk County, Iowa(7,8)",19107,121.1
"Black Hawk County, Iowa(7,8)",19013,121.1
"Kosciusko County, Indiana(6,10)",18085,121.1
"Acadia Parish, Louisiana(7,9)",22001,121
"Orangeburg County, South Carolina(6,10)",45075,120.9
"Pike County, Indiana(6,10)",18125,120.9
"Queen Annes County, Maryland(6,10)",24035,120.9
"Pottawattamie County, Iowa(7,8)",19155,120.9
"Douglas County, Georgia(7,9)",13097,120.9
"Bennington County, Vermont(6,10)",50003,120.8
"Noble County, Indiana(6,10)",18113,120.8
"Campbell County, Tennessee(6,10)",47013,120.7
"Musselshell County, Montana(6,10)",30065,120.6
"Fillmore County, Nebraska(6,10)",31059,120.6
"Hancock County, Indiana(6,10)",18059,120.6
"Windsor County, Vermont(6,10)",50027,120.6
"Lake County, Florida(6,10)",12069,120.6
"Hertford County, North Carolina(6,10)",37091,120.6
"Broomfield County, Colorado(6,10)",8014,120.6
"Jackson County, West Virginia(6,10)",54035,120.5
"El Paso County, Texas(6,10)",48141,120.5
"Hill County, Montana(6,10)",30041,120.5
"LaFourche Parish, Louisiana(7,9)",22057,120.5
"Fulton County, Indiana(6,10)",18049,120.4
"Carroll County, Georgia(7,9)",13045,120.4
"Jefferson County, Ohio(6,10)",39081,120.4
"Monroe County, Georgia(7,9)",13207,120.3
"Johnson County, Wyoming(6,10)",56019,120.3
"Burt County, Nebraska(6,10)",31021,120.3
"Pottawatomie County, Oklahoma(6,10)",40125,120.3
"Licking County, Ohio(6,10)",39089,120.3
"Dunn County, Wisconsin(6,10)",55033,120.3
"Grand Isle County, Vermont(6,10)",50013,120.2
"McCurtain County, Oklahoma(6,10)",40089,120.2
"Cayuga County, New York(6,10)",36011,120.2
"Harris County, Georgia(7,9)",13145,120.2
"Hamilton County, Tennessee(6,10)",47065,120.2
"Adams County, Colorado(6,10)",8001,120.2
"Yavapai County, Arizona(6,10)",4025,120.2
"Nez Perce County, Idaho(6,10)",16069,120.1
"Tulare County, California(7,9)",6107,120.1
"Georgetown County, South Carolina(6,10)",45043,120.1
"Onslow County, North Carolina(6,10)",37133,120.1
"Leon County, Texas(6,10)",48289,120.1
"Whitman County, Washington(6,10)",53075,120
"Rogers County, Oklahoma(6,10)",40131,120
"Putnam County, Georgia(7)",13237,120
"Tehama County, California(7,9)",6103,120
"Clayton County, Iowa(7,8)",19043,120
"Elbert County, Colorado(6,10)",8039,120
"Kaufman County, Texas(6,10)",48257,119.9
"Lewis County, Missouri(6,10)",29111,119.9
"Trinity County, California(7,9)",6105,119.9
"Cumberland County, Tennessee(6,10)",47035,119.9
"Chariton County, Missouri(6,10)",29041,119.9
"Grant County, Indiana(6,10)",18053,119.9
"Missoula County, Montana(6,10)",30063,119.8
"Dade County, Missouri(6,10)",29057,119.8
"Okaloosa County, Florida(6,10)",12091,119.8
"Madison County, New York(6,10)",36053,119.8
"Burke County, Georgia(7,9)",13033,119.8
"Crook County, Oregon(6,10)",41013,119.8
"Chambers County, Texas(6,10)",48071,119.8
"Montgomery County, Mississippi(6,10)",28097,119.8
"Johnson County, Indiana(6,10)",18081,119.8
"Salt Lake County, Utah(7,8)",49035,119.8
"Prince Georges County, Maryland(6,10)",24033,119.8
"Stephens County, Oklahoma(6,10)",40137,119.7
"Lucas County, Iowa(7,8)",19117,119.7
"Spink County, South Dakota(6,10)",46115,119.7
"Matanuska-Susitna Borough, Alaska(6,10)",2170,119.7
"Cherokee County, South Carolina(6,10)",45021,119.7
"Payne County, Oklahoma(6,10)",40119,119.6
"Andrews County, Texas(6,10)",48003,119.6
"Weld County, Colorado(6,10)",8123,119.6
"Webster Parish, Louisiana(7,9)",22119,119.6
"Caldwell County, North Carolina(6,10)",37027,119.6
"Madison County, Georgia(7,9)",13195,119.6
"Osceola County, Florida(6,10)",12097,119.6
"Brule County, South Dakota(6,10)",46015,119.6
"Clinton County, Missouri(6,10)",29049,119.5
"Santa Rosa County, Florida(6,10)",12113,119.5
"Lemhi County, Idaho(6,10)",16059,119.4
"Jasper County, South Carolina(6,10)",45053,119.4
"Grant County, Oklahoma(6,10)",40053,119.4
"Allen Parish, Louisiana(7,9)",22003,119.4
"Morgan County, West Virginia(6,10)",54065,119.4
"Ware County, Georgia(7,9)",13299,119.3
"Bedford County, Tennessee(6,10)",47003,119.3
"Powell County, Montana(6,10)",30077,119.2
"Coos County, New Hampshire(6,10)",33007,119.2
"Yalobusha County, Mississippi(6,10)",28161,119.2
"Marion County, Arkansas(6,10)",5089,119.2
"Surry County, North Carolina(6,10)",37171,119.2
"Clay County, Indiana(6,10)",18021,119.2
"Faulkner County, Arkansas(6,10)",5045,119.2
"Uinta County, Wyoming(6,10)",56041,119.1
"Calcasieu Parish, Louisiana(7,9)",22019,119.1
"Okmulgee County, Oklahoma(6,10)",40111,119
"Yellowstone County, Montana(6,10)",30111,118.9
"Conway County, Arkansas(6,10)",5029,118.9
"Union County, Tennessee(6,10)",47173,118.8
"Union County, Iowa(7,8)",19175,118.8
"Hill County, Texas(6,10)",48217,118.8
"Franklin Parish, Louisiana(7,9)",22041,118.8
"Platte County, Nebraska(6,10)",31141,118.7
"Freestone County, Texas(6,10)",48161,118.7
"Clark County, Indiana(6,10)",18019,118.7
"Lumpkin County, Georgia(7,9)",13187,118.7
"Midland County, Texas(6,10)",48329,118.6
"Champaign County, Ohio(6,10)",39021,118.6
"Taylor County, Florida(6,10)",12123,118.6
"Delaware County, Iowa(7,8)",19055,118.6
"Cedar County, Iowa(7,8)",19031,118.5
"Kern County, California(7,9)",6029,118.5
"Clinton County, Iowa(7,8)",19045,118.5
"Ouachita Parish, Louisiana(7,9)",22073,118.5
"Decatur County, Iowa(7,8)",19053,118.5
"Seneca County, Ohio(6,10)",39147,118.4
"Arenac County, Michigan(6,10)",26011,118.4 #  
"Tate County, Mississippi(6,10)",28137,118.4
"Mahoning County, Ohio(6,10)",39099,118.4
"Winneshiek County, Iowa(7,8)",19191,118.3
"Lamar County, Texas(6,10)",48277,118.3
"Madera County, California(7,9)",6039,118.3
"Lee County, Alabama(6,10)",1081,118.3
"Levy County, Florida(6,10)",12075,118.3
"Johnston County, North Carolina(6,10)",37101,118.3
"Wayne County, Georgia(7,9)",13305,118.2
"Scott County, Indiana(6,10)",18143,118.2
"Sandusky County, Ohio(6,10)",39143,118.2
"Columbiana County, Ohio(6,10)",39029,118.1
"Jefferson County, Tennessee(6,10)",47089,118.1
"Charles County, Maryland(6,10)",24017,118.1
"Lancaster County, South Carolina(6,10)",45057,118.1
"Leon County, Florida(6,10)",12073,118.1
"Howard County, Texas(6,10)",48227,118
"Moffat County, Colorado(6,10)",8081,118
"Jackson County, North Carolina(6,10)",37099,118
"Summit County, Ohio(6,10)",39153,118
"Pettis County, Missouri(6,10)",29159,118
"Eagle County, Colorado(6,10)",8037,117.9
"Allen County, Ohio(6,10)",39003,117.9
"Mendocino County, California(7,9)",6045,117.9
"Lewis County, West Virginia(6,10)",54041,117.9
"Wyandot County, Ohio(6,10)",39175,117.9
"Calhoun County, Texas(6,10)",48057,117.9
"Habersham County, Georgia(7,9)",13137,117.8
"Baldwin County, Alabama(6,10)",1003,117.8
"Evans County, Georgia(7,9)",13109,117.8
"Alger County, Michigan(6,10)",26003,117.8 #  
"Sebastian County, Arkansas(6,10)",5131,117.8
"Oconto County, Wisconsin(6,10)",55083,117.8
"Van Buren County, Tennessee(6,10)",47175,117.8
"Gibson County, Tennessee(6,10)",47053,117.7
"Tangipahoa Parish, Louisiana(7,9)",22105,117.7
"Pike County, Ohio(6,10)",39131,117.7
"Lee County, Georgia(7,9)",13177,117.7
"Putnam County, Ohio(6,10)",39137,117.7
"Taney County, Missouri(6,10)",29213,117.7
"Jasper County, Missouri(6,10)",29097,117.7
"Sevier County, Tennessee(6,10)",47155,117.6
"Davison County, South Dakota(6,10)",46035,117.6
"Chouteau County, Montana(6,10)",30015,117.6
"Coweta County, Georgia(7,9)",13077,117.6
"Ellis County, Texas(6,10)",48139,117.6
"McLennan County, Texas(6,10)",48309,117.6
"St. Clair County, Michigan(6,10)",26147,117.6 #  
"Clay County, Texas(6,10)",48077,117.5
"Oneida County, New York(6,10)",36065,117.5
"Walton County, Georgia(7,9)",13297,117.5
"Pearl River County, Mississippi(6,10)",28109,117.4
"Liberty County, Georgia(7,9)",13179,117.4
"Greene County, Tennessee(6,10)",47059,117.4
"Clinton County, Ohio(6,10)",39027,117.3
"Bingham County, Idaho(6,10)",16011,117.3
"Swain County, North Carolina(6,10)",37173,117.3
"Haywood County, North Carolina(6,10)",37087,117.3
"Peach County, Georgia(7,9)",13225,117.3
"Sagadahoc County, Maine(6,10)",23023,117.3
"Stone County, Mississippi(6,10)",28131,117.3
"Morgan County, Colorado(6,10)",8087,117.2
"Lonoke County, Arkansas(6,10)",5085,117.2
"George County, Mississippi(6,10)",28039,117.2
"Brown County, South Dakota(6,10)",46013,117.1
"Payette County, Idaho(6,10)",16075,117.1
"Nueces County, Texas(6,10)",48355,117.1
"Bienville Parish, Louisiana(7,9)",22013,117.1
"Miami County, Ohio(6,10)",39109,117
"Jackson County, Mississippi(6,10)",28059,117
"Huron County, Ohio(6,10)",39077,117
"Salem County, New Jersey(7,8)",34033,116.9
"Lenawee County, Michigan(6,10)",26091,116.9 #  
"Rio Grande County, Colorado(6,10)",8105,116.9
"Ashtabula County, Ohio(6,10)",39007,116.8
"Hays County, Texas(6,10)",48209,116.8
"Jefferson County, New York(6,10)",36045,116.8
"Horry County, South Carolina(6,10)",45051,116.8
"Baxter County, Arkansas(6,10)",5005,116.8
"Park County, Wyoming(6,10)",56029,116.8
"Shawano County, Wisconsin(6,10)",55115,116.7
"Chilton County, Alabama(6,10)",1021,116.7
"Laurens County, South Carolina(6,10)",45059,116.7
"Lawrence County, Ohio(6,10)",39087,116.7
"Morgan County, Alabama(6,10)",1103,116.6
"Franklin County, Washington(6,10)",53021,116.6
"Wood County, Ohio(6,10)",39173,116.6
"Stark County, Ohio(6,10)",39151,116.6
"Milam County, Texas(6,10)",48331,116.6
"Marshall County, West Virginia(6,10)",54051,116.6
"Cotton County, Oklahoma(6,10)",40033,116.6
"Clay County, Mississippi(6,10)",28025,116.5
"Bryan County, Georgia(7,9)",13029,116.5
"Dale County, Alabama(6,10)",1045,116.5
"Comanche County, Oklahoma(6,10)",40031,116.5
"Ionia County, Michigan(6,10)",26067,116.5 #  
"Brevard County, Florida(6,10)",12009,116.4
"Franklin County, New York(6,10)",36033,116.4
"Garland County, Arkansas(6,10)",5051,116.4
"Lafayette County, Missouri(6,10)",29107,116.4
"Sevier County, Utah(7,8)",49041,116.4
"Cullman County, Alabama(6,10)",1043,116.3
"Cassia County, Idaho(6,10)",16031,116.3
"Otero County, Colorado(6,10)",8089,116.2
"Craven County, North Carolina(6,10)",37049,116.2
"Caldwell County, Missouri(6,10)",29025,116.2
"Wexford County, Michigan(6,10)",26165,116.1 #  
"Fayette County, West Virginia(6,10)",54019,116.1
"Saline County, Missouri(6,10)",29195,116.1
"Grayson County, Texas(6,10)",48181,116.1
"Madison County, Indiana(6,10)",18095,116
"Williams County, Ohio(6,10)",39171,116
"Eaton County, Michigan(6,10)",26045,116 #  
"St. Charles Parish, Louisiana(7,9)",22089,115.9
"Cecil County, Maryland(6,10)",24015,115.9
"Person County, North Carolina(6,10)",37145,115.9
"Jones County, Georgia(7,9)",13169,115.9
"Jackson County, Oklahoma(6,10)",40065,115.9
"Victoria County, Texas(6,10)",48469,115.9
"Limestone County, Alabama(6,10)",1083,115.8
"Vernon County, Wisconsin(6,10)",55123,115.8
"Burnett County, Wisconsin(6,10)",55013,115.8
"Otero County, New Mexico(7,8)",35035,115.7
"Chase County, Nebraska(6,10)",31029,115.7
"Dodge County, Georgia(7,9)",13091,115.7
"Orange County, Indiana(6,10)",18117,115.7
"Jackson County, Michigan(6,10)",26075,115.7 #  
